id,name,teacher,day,slots,credit,isBase,isLang,CourseNumber,program,isSmr
1122126,消費者保護法專題研究（三）,向明恩,5,3|4,2,False,False,651539001,法律系碩士班,False
1122127,國際人道法與難民法,蔡沛倫,4,5|6,2,False,False,651641001,法律系碩士班,False
1122128,財法中心公益服務實習—金融消費評議中心見習（一）,周振鋒,5,E|F,2,False,False,651646001,法律系碩士班,False
1122129,法理學專題研究（一）,陳起行,1,D|5|6|7,1,False,False,651695001,法律系碩士班,False
1122130,歐盟經貿法,洪德欽,4,E|F|G,3,False,False,651706001,法律系碩士班,False
1122131,公法中心公益服務實習（二）,傅玲靜,1,D,1,False,False,651760001,法律系碩士班,False
1122132,民法中心公益服務實習（三）,周伯峰,4,C,1,False,False,651820001,法律系碩士班,False
1122133,中國大陸公司法研究（一）,王文杰,3,3|4,2,False,False,651853001,法律系碩士班,False
1122134,國際公司治理專題研究（一）,周振鋒,5,2|3|4,3,False,False,651A01001,法律系碩士班,False
1122135,文化與法律專題研究（一）,陳惠馨,2,D|5|6,3,False,False,651A16001,法律系碩士班,False
1122136,鑑識會計,朱家德、朱德芳、馬秀如,4,E|F|G,3,False,False,651A29001,法律系碩士班,False
1122137,信託法理論與實務（一）,方嘉麟、胡玉瑩、馬國柱,5,5|6|7,3,False,False,651A45001,法律系碩士班,False
1122138,檢察實務研究（二）,蔡碧玉,5,3|4,2,False,False,651A46001,法律系碩士班,False
1122139,刑事訴訟實務研究,陳德民,1,6|7,2,False,False,651B01001,法律系碩士班,False
1122140,專題三：AI與治理,陳柏良,5,2|3|4,3,False,False,651B06001,法律系碩士班,False
1122141,法學整合研究與論文研討（二）,王立達,4,F,1,False,False,651B23001,法律系碩士班,False
1122142,商務契約撰擬,朱德芳、程春益,2,7|8,2,False,False,651B31001,法律系碩士班,False
1122143,刑法與社會專題研究（二）,李聖傑、黃士軒,4,D|5|6,3,False,False,651B39001,法律系碩士班,False
1122144,智慧財產權法專題研究（五）,陳龍昇,4,5|6,2,False,False,651B40001,法律系碩士班,False
1122145,國際智慧財產權法專題研究（三）,陳龍昇、謝祥揚,4,E|F,2,False,False,651B41001,法律系碩士班,False
1122146,近代民法史專題研究（一）,黃琴唐,3,5|6|7,3,False,False,651B42001,法律系碩士班,False
1122147,比較商事法專題,陳盈如,4,3|4,2,False,False,651B43001,法律系碩士班,False
1122148,個人資料保護法,劉定基,3,5|6,2,False,False,651B45001,法律系碩士班,False
1122149,醫療法與人工智慧法專題（一）,劉明生,3,3|4,2,False,False,651B46001,法律系碩士班,False
